date,mean_open,mean_High,mean_Low,mean_close
2019-09-01,60.8815,61.44350000000001,60.480999999999995,61.0425
2019-10-01,61.5404347826087,62.11304347826086,61.19652173913043,61.63565217391304
2019-11-01,65.11699999999999,65.5765,64.821,65.2135
2019-12-01,67.04333333333334,67.40857142857142,66.70142857142858,67.04333333333334
2020-01-01,71.63428571428571,72.24761904761905,71.19,71.83238095238096
2020-02-01,73.13894736842106,73.96842105263158,72.40578947368421,73.20473684210526
2020-03-01,59.166818181818186,60.816818181818185,57.57,59.42045454545455
2020-04-01,61.74761904761905,62.60190476190477,60.78047619047619,61.70619047619047
2020-05-01,68.8605,69.773,68.20349999999999,69.0565
2020-06-01,71.5040909090909,72.3259090909091,70.64136363636364,71.55318181818183
2020-07-01,75.4509090909091,76.50318181818182,74.57818181818182,75.67818181818183
2020-08-01,76.97380952380952,77.9604761904762,76.47,77.29761904761905
2020-09-01,76.3347619047619,77.28285714285714,74.91238095238096,75.92809523809524
2020-10-01,77.2840909090909,78.40181818181817,76.40727272727273,77.3409090909091
2020-11-01,87.2675,88.378,86.5835,87.41799999999999
2020-12-01,88.58636363636364,89.41636363636364,87.77227272727272,88.6140909090909
2021-01-01,90.11315789473684,91.53210526315789,89.11578947368422,90.41894736842106
2021-02-01,103.00631578947367,104.50947368421053,102.11631578947369,103.41842105263159
2021-03-01,103.05608695652174,104.2495652173913,101.92086956521739,102.99304347826087
2021-04-01,114.18238095238095,115.32714285714285,113.43809523809523,114.49238095238096
2021-05-01,117.59100000000001,118.59649999999999,116.66099999999999,117.62950000000001
2021-06-01,124.91272727272727,125.62409090909091,124.17590909090909,125.06954545454545
2021-07-01,132.0947619047619,133.18047619047618,131.2290476190476,132.33904761904762
2021-08-01,138.8190909090909,139.86545454545455,138.14363636363635,139.32090909090908
2021-09-01,142.3852380952381,143.21571428571428,140.9947619047619,141.88238095238097
2021-10-01,139.97095238095238,141.53666666666666,138.76619047619047,140.44809523809522
2021-11-01,147.87714285714287,148.99238095238096,146.38333333333335,147.43285714285716
2021-12-01,145.60454545454547,146.9231818181818,144.14954545454546,145.65227272727273
2022-01-01,136.37349999999998,138.18900000000002,134.3595,136.0425
2022-02-01,137.32368421052632,138.99684210526317,134.7478947368421,136.5778947368421
2022-03-01,135.33217391304348,136.93173913043478,133.63739130434783,135.35608695652175
2022-04-01,129.661,130.9665,127.2465,128.611
2022-05-01,113.1704761904762,115.20238095238095,111.45761904761905,113.52904761904763
2022-06-01,112.70333333333333,114.66523809523808,111.38285714285715,112.8257142857143
2022-07-01,112.68299999999999,114.8475,111.0155,113.327
2022-08-01,117.22434782608696,118.51043478260871,116.11478260869565,117.11478260869565
2022-09-01,109.05555555555556,110.35777777777778,107.68555555555555,109.0488888888889
