date,mean_open,mean_High,mean_Low,mean_close
2019-09-01,282.491,286.631,277.428,281.9455
2019-10-01,276.84043478260867,281.4895652173913,272.3478260869565,277.63652173913044
2019-11-01,297.666,301.934,294.5865,299.1255
2019-12-01,314.35809523809525,317.71809523809526,311.0228571428571,314.60380952380956
2020-01-01,338.04,343.2557142857143,333.3933333333333,338.8328571428571
2020-02-01,372.12684210526317,379.4821052631579,367.6105263157895,373.98842105263157
2020-03-01,349.5286363636364,361.80545454545455,339.385,350.5872727272727
2020-04-01,402.6885714285714,411.8776190476191,394.84476190476187,404.3109523809524
2020-05-01,433.88,440.099,426.64799999999997,433.294
2020-06-01,437.7072727272727,444.6413636363637,430.82045454545454,438.9777272727273
2020-07-01,498.0068181818182,508.39,487.58818181818185,499.385
2020-08-01,496.3857142857143,504.95238095238096,489.9014285714286,498.0747619047619
2020-09-01,496.91047619047623,505.31476190476195,484.8838095238095,495.5533333333333
2020-10-01,517.6013636363637,525.9418181818181,507.4818181818182,515.1418181818182
2020-11-01,486.918,493.651,480.52700000000004,487.44399999999996
2020-12-01,514.0140909090909,522.0977272727273,508.1786363636364,516.569090909091
2021-01-01,530.531052631579,537.838947368421,519.8542105263158,526.8168421052632
2021-02-01,547.7773684210526,555.4942105263158,540.6215789473684,548.96
2021-03-01,519.4291304347827,527.0569565217392,511.32608695652175,518.1234782608695
2021-04-01,532.8109523809524,537.8019047619048,527.0414285714285,533.1366666666667
2021-05-01,496.9235,502.06149999999997,491.9965,496.71450000000004
2021-06-01,503.4709090909091,508.1163636363636,498.67545454545456,503.3240909090909
2021-07-01,528.6090476190477,534.2985714285714,522.6180952380952,528.6533333333333
2021-08-01,529.8845454545454,535.9372727272727,526.2222727272728,532.3468181818181
2021-09-01,589.4052380952381,598.17,583.384761904762,590.7952380952381
2021-10-01,639.22,648.8290476190476,632.4300000000001,642.2028571428572
2021-11-01,671.3628571428571,677.7261904761905,660.9471428571428,667.5242857142857
2021-12-01,611.5686363636364,616.9627272727273,601.9545454545455,608.4840909090909
2022-01-01,492.0545,498.947,478.276,487.8535
2022-02-01,400.77684210526314,409.69947368421055,391.0663157894737,400.9863157894737
2022-03-01,369.2195652173913,374.96217391304344,360.38347826086954,366.79173913043473
2022-04-01,300.35,306.0735,291.187,297.4145
2022-05-01,185.86238095238096,190.7904761904762,180.32619047619048,186.4495238095238
2022-06-01,184.89095238095237,189.52190476190475,180.58952380952383,184.84761904761905
2022-07-01,196.2335,202.329,192.6645,199.089
2022-08-01,232.73347826086956,237.49739130434781,229.47565217391303,233.02652173913043
2022-09-01,225.62333333333333,230.78444444444443,221.84555555555556,227.03222222222223
